#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A68522
#Date Time: 2021-12-03 11:46:07.598
#Sample rate: 50000Hz
#Samples: 100000
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -2 V Attenuation: 1 X
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -1 V

Group: 34
Turn: Right
Run: 40
Ball radius: 12.5mm
Angle: High
Time (s),Channel 1 (V)
0.1611,0.3276634694109402
0.16112,0.3276634694109402
0.1611400000000001,0.3276634694109402
0.1611600000000001,0.3276634694109377
0.16118,0.326999648608143
0.1612,0.3269996486081406
0.16122,0.3266677382067409
0.16124,0.3269996486081406
0.1612600000000001,0.3269996486081406
0.1612800000000001,0.3266677382067409
0.1613,0.3266677382067409
0.16132,0.3260039174039411
0.16134,0.3269996486081406
0.1613600000000001,0.3269996486081406
0.1613800000000001,0.3269996486081406
0.1614000000000001,0.3269996486081393
0.16142,0.3266677382067421
0.16144,0.3276634694109402
0.16146,0.3279953798123401
0.1614800000000001,0.3279953798123401
0.1615000000000001,0.3279953798123425
0.16152,0.3286592006151372
0.16154,0.3276634694109402
0.16156,0.3276634694109402
0.1615800000000001,0.32832729021374
0.1616000000000001,0.32832729021374
0.1616200000000001,0.3273315590095429
0.16164,0.3279953798123376
0.16166,0.3279953798123401
0.16168,0.3276634694109402
0.1617000000000001,0.3269996486081406
0.1617200000000001,0.3279953798123376
0.16174,0.3273315590095429
0.16176,0.3269996486081406
0.16178,0.3269996486081406
0.1618000000000001,0.3269996486081406
0.1618200000000001,0.3273315590095405
0.1618400000000001,0.3276634694109377
0.16186,0.326999648608143
0.16188,0.3276634694109402
0.1619,0.3276634694109402
0.1619200000000001,0.3273315590095405
0.1619400000000001,0.3276634694109414
0.16196,0.3279953798123388
0.16198,0.3276634694109402
0.162,0.3279953798123401
0.1620200000000001,0.3279953798123401
0.1620400000000001,0.3273315590095405
0.1620600000000001,0.3276634694109389
0.16208,0.3273315590095417
0.1621,0.3276634694109402
0.16212,0.3273315590095405
0.1621400000000001,0.3266677382067409
0.1621600000000001,0.3279953798123365
0.16218,0.3269996486081442
0.1622,0.3269996486081406
0.16222,0.3276634694109402
0.1622400000000001,0.326335827805341
0.1622600000000001,0.3276634694109402
0.1622800000000001,0.3269996486081393
0.1623,0.3266677382067421
0.16232,0.3276634694109402
0.16234,0.3266677382067409
0.1623600000000001,0.3279953798123401
0.1623800000000001,0.3276634694109402
0.1624000000000001,0.3279953798123401
0.16242,0.3279953798123401
0.16244,0.32832729021374
0.16246,0.3279953798123401
0.1624800000000001,0.32832729021374
0.1625000000000001,0.3279953798123376
0.16252,0.3273315590095429
0.16254,0.3273315590095405
0.16256,0.3266677382067409
0.1625800000000001,0.326335827805341
0.1626000000000001,0.3266677382067409
0.1626200000000001,0.3260039174039423
0.16264,0.3263358278053398
0.16266,0.3260039174039411
0.16268,0.326335827805341
0.1627000000000001,0.3266677382067409
0.1627200000000001,0.3269996486081418
0.16274,0.3273315590095393
0.16276,0.3273315590095405
0.16278,0.3273315590095405
0.1628000000000001,0.3276634694109402
0.1628200000000001,0.3276634694109402
0.1628400000000001,0.3273315590095405
0.16286,0.3273315590095405
0.16288,0.3269996486081406
0.1629,0.3266677382067409
0.1629200000000001,0.3269996486081406
0.1629400000000001,0.3273315590095393
0.16296,0.3269996486081418
0.16298,0.3276634694109402
0.163,0.3273315590095405
0.1630200000000001,0.3273315590095405
0.1630400000000001,0.3276634694109402
0.1630600000000001,0.3276634694109402
0.16308,0.3276634694109402
0.1631,0.32832729021374
0.16312,0.3276634694109402
0.1631400000000001,0.3276634694109402
0.1631600000000001,0.3289911110165359
0.16318,0.3279953798123437
0.1632,0.32832729021374
0.16322,0.3293230214179392
0.1632400000000001,0.3273315590095405
0.1632600000000001,0.32832729021374
0.1632800000000001,0.3279953798123388
0.1633,0.3276634694109414
0.16332,0.3276634694109402
0.16334,0.3266677382067409
0.1633600000000001,0.3273315590095405
0.1633800000000001,0.3269996486081406
0.1634,0.3260039174039447
0.16342,0.3279953798123401
0.16344,0.3279953798123401
0.16346,0.3286592006151396
0.1634800000000001,0.3286592006151396
0.1635000000000001,0.3289911110165432
0.16352,0.3299868422207354
0.16354,0.329986842220739
0.16356,0.329986842220739
0.1635800000000001,0.3303187526221387
0.1636000000000001,0.3303187526221387
0.1636200000000001,0.3303187526221375
0.16364,0.3299868422207403
0.16366,0.3303187526221387
0.16368,0.3306506630235386
0.1637000000000001,0.3306506630235386
0.1637200000000001,0.3303187526221412
0.16374,0.3309825734249359
0.16376,0.3309825734249383
0.16378,0.3313144838263382
0.1638000000000001,0.3303187526221387
0.1638200000000001,0.3309825734249383
0.1638400000000001,0.3313144838263394
0.16386,0.3316463942277369
0.16388,0.3309825734249383
0.1639,0.3313144838263382
0.1639200000000001,0.3313144838263382
0.1639400000000001,0.3319783046291378
0.16396,0.3319783046291378
0.16398,0.3326421254319374
0.164,0.3349654982417363
0.1640200000000001,0.3346335878403364
0.1640400000000001,0.335297408643136
0.1640600000000001,0.3349654982417363
0.16408,0.3349654982417363
0.1641,0.3339697670375368
0.16412,0.3339697670375368
0.1641400000000001,0.3349654982417363
0.1641600000000001,0.3346335878403376
0.16418,0.334965498241735
0.1642,0.3346335878403364
0.16422,0.3336378566361369
0.1642400000000001,0.3346335878403364
0.1642600000000001,0.3339697670375368
0.1642800000000001,0.333969767037538
0.1643,0.3343016774389352
0.16432,0.3336378566361369
0.16434,0.3339697670375368
0.1643600000000001,0.3339697670375368
0.1643800000000001,0.3336378566361429
0.1644,0.3352974086431299
0.16442,0.3349654982417363
0.16444,0.3346335878403364
0.1644600000000001,0.3356293190445359
0.1644800000000001,0.3356293190445359
0.1645000000000001,0.3362931398473354
0.16452,0.3362931398473354
0.16454,0.335297408643136
0.16456,0.3362931398473354
0.1645800000000001,0.3356293190445359
0.1646000000000001,0.3349654982417363
0.1646200000000001,0.3352974086431335
0.16464,0.3346335878403364
0.16466,0.335297408643136
0.16468,0.3346335878403364
0.1647000000000001,0.3346335878403364
0.1647200000000001,0.3346335878403364
0.16474,0.3346335878403364
0.16476,0.3346335878403364
0.16478,0.3349654982417363
0.1648000000000001,0.335297408643136
0.1648200000000001,0.3349654982417363
0.1648400000000001,0.3349654982417399
0.16486,0.3359612294459319
0.16488,0.335297408643136
0.1649,0.335297408643136
0.1649200000000001,0.3359612294459355
0.1649400000000001,0.3346335878403412
0.16496,0.3359612294459307
0.16498,0.3359612294459355
0.165,0.335297408643136
0.1650200000000001,0.3366250502487353
0.1650400000000001,0.3346335878403364
0.1650600000000001,0.335297408643136
0.16508,0.335297408643136
0.1651,0.3339697670375368
0.16512,0.3356293190445359
0.1651400000000001,0.3346335878403364
0.1651600000000001,0.3346335878403376
0.16518,0.334965498241735
0.1652,0.3346335878403364
0.16522,0.3359612294459355
0.1652400000000001,0.3359612294459355
0.1652600000000001,0.3349654982417363
0.1652800000000001,0.3359612294459307
0.1653,0.3346335878403412
0.16532,0.335297408643136
0.16534,0.3359612294459355
0.1653600000000001,0.3333059462347372
0.1653800000000001,0.3346335878403364
0.1654,0.3346335878403364
0.16542,0.3333059462347372
0.16544,0.3329740358333373
0.1654600000000001,0.3319783046291378
0.1654800000000001,0.3339697670375368
0.1655000000000001,0.3346335878403328
0.16552,0.3336378566361405
0.16554,0.3343016774389365
0.16556,0.3336378566361369
0.1655800000000001,0.3336378566361369
0.1656000000000001,0.3349654982417363
0.16562,0.3339697670375404
0.16564,0.3339697670375368
0.16566,0.3329740358333373
0.16568,0.3326421254319374
0.1657000000000001,0.3333059462347372
0.1657200000000001,0.331978304629139
0.16574,0.3323102150305365
0.16576,0.3323102150305377
0.16578,0.3316463942277381
0.1658000000000001,0.3319783046291378
0.1658200000000001,0.3316463942277381
0.1658400000000001,0.3319783046291426
0.16586,0.3333059462347324
0.16588,0.3316463942277381
0.1659,0.3329740358333373
0.1659200000000001,0.3329740358333373
0.1659400000000001,0.3323102150305413
0.16596,0.3333059462347336
0.16598,0.3326421254319374
0.166,0.3336378566361369
0.1660200000000001,0.3333059462347372
0.1660400000000001,0.3326421254319374
0.1660600000000001,0.3333059462347372
0.16608,0.3333059462347372
0.1661,0.3326421254319374
0.16612,0.3339697670375368
0.1661400000000001,0.3323102150305377
0.1661600000000001,0.3329740358333373
0.16618,0.3329740358333373
0.1662,0.3323102150305377
0.16622,0.3343016774389365
0.1662400000000001,0.3329740358333373
0.1662600000000001,0.3333059462347372
0.1662800000000001,0.3339697670375343
0.1663,0.3333059462347396
0.16632,0.3346335878403364
0.16634,0.3339697670375368
0.1663600000000001,0.3333059462347372
0.1663800000000001,0.3343016774389304
0.1664,0.3326421254319434
0.16642,0.3336378566361369
0.16644,0.3329740358333373
0.1664600000000001,0.3329740358333373
0.1664800000000001,0.3336378566361369
0.1665000000000001,0.3323102150305377
0.16652,0.3323102150305377
0.16654,0.3326421254319374
0.16656,0.3319783046291378
0.1665800000000001,0.3329740358333373
0.1666000000000001,0.3323102150305365
0.16662,0.331978304629139
0.16664,0.3326421254319374
0.16666,0.3319783046291378
0.1666800000000001,0.3319783046291378
0.1667000000000001,0.3319783046291378
0.1667200000000001,0.3319783046291402
0.16674,0.3326421254319349
0.16676,0.3313144838263382
0.16678,0.3323102150305377
0.1668000000000001,0.3319783046291378
0.1668200000000001,0.3319783046291378
0.1668400000000001,0.3313144838263407
0.16686,0.3319783046291378
0.16688,0.3319783046291378
0.1669,0.3316463942277381
0.1669200000000001,0.3323102150305377
0.1669400000000001,0.3323102150305365
0.16696,0.331978304629139
0.16698,0.3319783046291378
0.167,0.3323102150305377
0.1670200000000001,0.3316463942277381
0.1670400000000001,0.3316463942277381
0.1670600000000001,0.331978304629133
0.16708,0.3306506630235435
0.1671,0.3319783046291378
0.16712,0.3303187526221387
0.1671400000000001,0.3306506630235386
0.1671600000000001,0.3316463942277345
0.16718,0.3306506630235422
0.1672,0.3313144838263382
0.16722,0.3309825734249383
0.1672400000000001,0.3316463942277381
0.1672600000000001,0.3313144838263382
0.1672800000000001,0.3309825734249419
0.1673,0.3319783046291342
0.16732,0.3316463942277381
0.16734,0.3309825734249383
0.1673600000000001,0.3316463942277381
0.1673800000000001,0.3306506630235398
0.1674,0.3309825734249371
0.16742,0.3309825734249383
0.16744,0.3303187526221387
0.1674600000000001,0.3316463942277381
0.1674800000000001,0.329986842220739
0.1675000000000001,0.3303187526221387
0.16752,0.3303187526221387
0.16754,0.3289911110165396
0.16756,0.3289911110165396
0.1675800000000001,0.3289911110165396
0.1676000000000001,0.3296549318193416
0.16762,0.3303187526221363
0.16764,0.3286592006151396
0.16766,0.3293230214179392
0.1676800000000001,0.329986842220739
0.1677000000000001,0.32832729021374
0.1677200000000001,0.3289911110165371
0.16774,0.3283272902137424
0.16776,0.32832729021374
0.16778,0.3293230214179392
0.1678000000000001,0.3276634694109402
0.1678200000000001,0.3289911110165396
0.16784,0.3286592006151409
0.16786,0.3279953798123401
0.16788,0.3289911110165396
0.1679,0.3276634694109402
0.1679200000000001,0.3276634694109402
0.1679400000000001,0.3289911110165335
0.16796,0.3273315590095465
0.16798,0.3273315590095405
0.168,0.3273315590095405
0.1680200000000001,0.3273315590095405
0.1680400000000001,0.3276634694109402
0.1680600000000001,0.3263358278053446
0.16808,0.3273315590095369
0.1681,0.3269996486081406
0.16812,0.3276634694109402
0.1681400000000001,0.32832729021374
0.1681600000000001,0.327663469410945
0.16818,0.3289911110165347
0.1682,0.3286592006151396
0.16822,0.3276634694109402
0.1682400000000001,0.329986842220739
